# t[s]      z(t) [m]
  0.000000  0.000000
  0.002004  0.014008
  0.004008  0.027977
  0.006012  0.041907
  0.008016  0.055797
  0.010020  0.069648
  0.012024  0.083459
  0.014028  0.097231
  0.016032  0.110964
  0.018036  0.124657
  0.020040  0.138311
  0.022044  0.151925
  0.024048  0.165500
  0.026052  0.179036
  0.028056  0.192532
  0.030060  0.205989
  0.032064  0.219406
  0.034068  0.232784
  0.036072  0.246123
  0.038076  0.259422
  0.040080  0.272682
  0.042084  0.285902
  0.044088  0.299083
  0.046092  0.312225
  0.048096  0.325327
  0.050100  0.338390
  0.052104  0.351413
  0.054108  0.364397
  0.056112  0.377342
  0.058116  0.390247
  0.060120  0.403113
  0.062124  0.415939
  0.064128  0.428726
  0.066132  0.441474
  0.068136  0.454182
  0.070140  0.466851
  0.072144  0.479480
  0.074148  0.492071
  0.076152  0.504621
  0.078156  0.517132
  0.080160  0.529604
  0.082164  0.542037
  0.084168  0.554430
  0.086172  0.566783
  0.088176  0.579098
  0.090180  0.591373
  0.092184  0.603608
  0.094188  0.615804
  0.096192  0.627961
  0.098196  0.640078
  0.100200  0.652156
  0.102204  0.664195
  0.104208  0.676194
  0.106212  0.688153
  0.108216  0.700074
  0.110220  0.711954
  0.112224  0.723796
  0.114228  0.735598
  0.116232  0.747361
  0.118236  0.759084
  0.120240  0.770768
  0.122244  0.782413
  0.124248  0.794018
  0.126253  0.805583
  0.128257  0.817110
  0.130261  0.828597
  0.132265  0.840044
  0.134269  0.851452
  0.136273  0.862821
  0.138277  0.874150
  0.140281  0.885440
  0.142285  0.896691
  0.144289  0.907902
  0.146293  0.919074
  0.148297  0.930206
  0.150301  0.941299
  0.152305  0.952352
  0.154309  0.963367
  0.156313  0.974341
  0.158317  0.985277
  0.160321  0.996173
  0.162325  1.007029
  0.164329  1.017846
  0.166333  1.028624
  0.168337  1.039363
  0.170341  1.050062
  0.172345  1.060721
  0.174349  1.071341
  0.176353  1.081922
  0.178357  1.092463
  0.180361  1.102965
  0.182365  1.113428
  0.184369  1.123851
  0.186373  1.134235
  0.188377  1.144579
  0.190381  1.154884
  0.192385  1.165150
  0.194389  1.175376
  0.196393  1.185563
  0.198397  1.195710
  0.200401  1.205818
  0.202405  1.215887
  0.204409  1.225916
  0.206413  1.235906
  0.208417  1.245857
  0.210421  1.255768
  0.212425  1.265639
  0.214429  1.275471
  0.216433  1.285264
  0.218437  1.295018
  0.220441  1.304732
  0.222445  1.314406
  0.224449  1.324042
  0.226453  1.333637
  0.228457  1.343194
  0.230461  1.352711
  0.232465  1.362189
  0.234469  1.371627
  0.236473  1.381026
  0.238477  1.390385
  0.240481  1.399705
  0.242485  1.408986
  0.244489  1.418227
  0.246493  1.427429
  0.248497  1.436591
  0.250501  1.445715
  0.252505  1.454798
  0.254509  1.463843
  0.256513  1.472847
  0.258517  1.481813
  0.260521  1.490739
  0.262525  1.499626
  0.264529  1.508473
  0.266533  1.517281
  0.268537  1.526049
  0.270541  1.534778
  0.272545  1.543468
  0.274549  1.552118
  0.276553  1.560729
  0.278557  1.569301
  0.280561  1.577833
  0.282565  1.586326
  0.284569  1.594779
  0.286573  1.603193
  0.288577  1.611568
  0.290581  1.619903
  0.292585  1.628198
  0.294589  1.636455
  0.296593  1.644672
  0.298597  1.652849
  0.300601  1.660987
  0.302605  1.669086
  0.304609  1.677145
  0.306613  1.685165
  0.308617  1.693146
  0.310621  1.701087
  0.312625  1.708989
  0.314629  1.716851
  0.316633  1.724674
  0.318637  1.732458
  0.320641  1.740202
  0.322645  1.747907
  0.324649  1.755572
  0.326653  1.763198
  0.328657  1.770785
  0.330661  1.778332
  0.332665  1.785839
  0.334669  1.793308
  0.336673  1.800737
  0.338677  1.808126
  0.340681  1.815477
  0.342685  1.822787
