# t[s]      z(t) [m]
 -3.000000  0.000864
 -2.998800  0.000870
 -2.997600  0.000876
 -2.996399  0.000883
 -2.995199  0.000889
 -2.993999  0.000896
 -2.992799  0.000902
 -2.991598  0.000908
 -2.990398  0.000915
 -2.989198  0.000922
 -2.987998  0.000928
 -2.986797  0.000935
 -2.985597  0.000942
 -2.984397  0.000948
 -2.983197  0.000955
 -2.981996  0.000962
 -2.980796  0.000969
 -2.979596  0.000976
 -2.978396  0.000983
 -2.977195  0.000990
 -2.975995  0.000997
 -2.974795  0.001004
 -2.973595  0.001011
 -2.972394  0.001019
 -2.971194  0.001026
 -2.969994  0.001033
 -2.968794  0.001041
 -2.967594  0.001048
 -2.966393  0.001056
 -2.965193  0.001063
 -2.963993  0.001071
 -2.962793  0.001078
 -2.961592  0.001086
 -2.960392  0.001094
 -2.959192  0.001102
 -2.957992  0.001110
 -2.956791  0.001117
 -2.955591  0.001125
 -2.954391  0.001133
 -2.953191  0.001141
 -2.951990  0.001150
 -2.950790  0.001158
 -2.949590  0.001166
 -2.948390  0.001174
 -2.947189  0.001183
 -2.945989  0.001191
 -2.944789  0.001199
 -2.943589  0.001208
 -2.942388  0.001217
 -2.941188  0.001225
 -2.939988  0.001234
 -2.938788  0.001243
 -2.937588  0.001251
 -2.936387  0.001260
 -2.935187  0.001269
 -2.933987  0.001278
 -2.932787  0.001287
 -2.931586  0.001296
 -2.930386  0.001305
 -2.929186  0.001315
 -2.927986  0.001324
 -2.926785  0.001333
 -2.925585  0.001343
 -2.924385  0.001352
 -2.923185  0.001362
 -2.921984  0.001371
 -2.920784  0.001381
 -2.919584  0.001391
 -2.918384  0.001400
 -2.917183  0.001410
 -2.915983  0.001420
 -2.914783  0.001430
 -2.913583  0.001440
 -2.912382  0.001450
 -2.911182  0.001460
 -2.909982  0.001471
 -2.908782  0.001481
 -2.907582  0.001491
 -2.906381  0.001502
 -2.905181  0.001512
 -2.903981  0.001523
 -2.902781  0.001533
 -2.901580  0.001544
 -2.900380  0.001555
 -2.899180  0.001566
 -2.897980  0.001577
 -2.896779  0.001588
 -2.895579  0.001599
 -2.894379  0.001610
 -2.893179  0.001621
 -2.891978  0.001633
 -2.890778  0.001644
 -2.889578  0.001655
 -2.888378  0.001667
 -2.887177  0.001678
 -2.885977  0.001690
 -2.884777  0.001702
 -2.883577  0.001714
 -2.882376  0.001726
 -2.881176  0.001738
 -2.879976  0.001750
 -2.878776  0.001762
 -2.877576  0.001774
 -2.876375  0.001786
 -2.875175  0.001799
 -2.873975  0.001811
 -2.872775  0.001824
 -2.871574  0.001836
 -2.870374  0.001849
 -2.869174  0.001862
 -2.867974  0.001875
 -2.866773  0.001888
 -2.865573  0.001901
 -2.864373  0.001914
 -2.863173  0.001927
 -2.861972  0.001940
 -2.860772  0.001954
 -2.859572  0.001967
 -2.858372  0.001981
 -2.857171  0.001994
 -2.855971  0.002008
 -2.854771  0.002022
 -2.853571  0.002036
 -2.852370  0.002050
 -2.851170  0.002064
 -2.849970  0.002078
 -2.848770  0.002092
 -2.847570  0.002106
 -2.846369  0.002121
 -2.845169  0.002135
 -2.843969  0.002150
 -2.842769  0.002165
 -2.841568  0.002180
 -2.840368  0.002195
 -2.839168  0.002210
 -2.837968  0.002225
 -2.836767  0.002240
 -2.835567  0.002255
 -2.834367  0.002271
 -2.833167  0.002286
 -2.831966  0.002302
 -2.830766  0.002317
 -2.829566  0.002333
 -2.828366  0.002349
 -2.827165  0.002365
 -2.825965  0.002381
 -2.824765  0.002397
 -2.823565  0.002414
 -2.822364  0.002430
 -2.821164  0.002447
 -2.819964  0.002463
 -2.818764  0.002480
 -2.817564  0.002497
 -2.816363  0.002514
 -2.815163  0.002531
 -2.813963  0.002548
 -2.812763  0.002565
 -2.811562  0.002583
 -2.810362  0.002600
 -2.809162  0.002618
 -2.807962  0.002635
 -2.806761  0.002653
 -2.805561  0.002671
 -2.804361  0.002689
 -2.803161  0.002707
 -2.801960  0.002726
 -2.800760  0.002744
 -2.799560  0.002762
 -2.798360  0.002781
 -2.797159  0.002800
 -2.795959  0.002819
 -2.794759  0.002838
 -2.793559  0.002857
 -2.792358  0.002876
 -2.791158  0.002895
 -2.789958  0.002915
 -2.788758  0.002934
 -2.787558  0.002954
 -2.786357  0.002974
 -2.785157  0.002994
 -2.783957  0.003014
 -2.782757  0.003034
 -2.781556  0.003054
 -2.780356  0.003075
 -2.779156  0.003096
 -2.777956  0.003116
 -2.776755  0.003137
 -2.775555  0.003158
 -2.774355  0.003179
 -2.773155  0.003200
 -2.771954  0.003222
 -2.770754  0.003243
 -2.769554  0.003265
 -2.768354  0.003287
 -2.767153  0.003309
 -2.765953  0.003331
 -2.764753  0.003353
 -2.763553  0.003375
 -2.762352  0.003398
 -2.761152  0.003420
 -2.759952  0.003443
 -2.758752  0.003466
 -2.757552  0.003489
 -2.756351  0.003512
 -2.755151  0.003535
 -2.753951  0.003559
 -2.752751  0.003582
 -2.751550  0.003606
 -2.750350  0.003630
 -2.749150  0.003654
 -2.747950  0.003678
 -2.746749  0.003703
 -2.745549  0.003727
 -2.744349  0.003752
 -2.743149  0.003777
 -2.741948  0.003801
 -2.740748  0.003827
 -2.739548  0.003852
 -2.738348  0.003877
 -2.737147  0.003903
 -2.735947  0.003929
 -2.734747  0.003954
 -2.733547  0.003980
 -2.732346  0.004007
 -2.731146  0.004033
 -2.729946  0.004060
 -2.728746  0.004086
 -2.727546  0.004113
 -2.726345  0.004140
 -2.725145  0.004167
 -2.723945  0.004195
 -2.722745  0.004222
 -2.721544  0.004250
 -2.720344  0.004278
 -2.719144  0.004306
 -2.717944  0.004334
 -2.716743  0.004362
 -2.715543  0.004391
 -2.714343  0.004419
 -2.713143  0.004448
 -2.711942  0.004477
 -2.710742  0.004507
 -2.709542  0.004536
 -2.708342  0.004566
 -2.707141  0.004595
 -2.705941  0.004625
 -2.704741  0.004655
 -2.703541  0.004686
 -2.702340  0.004716
 -2.701140  0.004747
 -2.699940  0.004778
 -2.698740  0.004809
 -2.697540  0.004840
 -2.696339  0.004872
 -2.695139  0.004903
 -2.693939  0.004935
 -2.692739  0.004967
 -2.691538  0.004999
 -2.690338  0.005032
 -2.689138  0.005064
 -2.687938  0.005097
 -2.686737  0.005130
 -2.685537  0.005163
 -2.684337  0.005197
 -2.683137  0.005230
 -2.681936  0.005264
 -2.680736  0.005298
 -2.679536  0.005332
 -2.678336  0.005367
 -2.677135  0.005401
 -2.675935  0.005436
 -2.674735  0.005471
 -2.673535  0.005506
 -2.672334  0.005542
 -2.671134  0.005577
 -2.669934  0.005613
 -2.668734  0.005649
 -2.667534  0.005686
 -2.666333  0.005722
 -2.665133  0.005759
 -2.663933  0.005796
 -2.662733  0.005833
 -2.661532  0.005870
 -2.660332  0.005908
 -2.659132  0.005946
 -2.657932  0.005984
 -2.656731  0.006022
 -2.655531  0.006061
 -2.654331  0.006099
 -2.653131  0.006138
 -2.651930  0.006178
 -2.650730  0.006217
 -2.649530  0.006257
 -2.648330  0.006297
 -2.647129  0.006337
 -2.645929  0.006377
 -2.644729  0.006418
 -2.643529  0.006459
 -2.642328  0.006500
 -2.641128  0.006541
 -2.639928  0.006583
 -2.638728  0.006625
 -2.637528  0.006667
 -2.636327  0.006709
 -2.635127  0.006752
 -2.633927  0.006794
 -2.632727  0.006837
 -2.631526  0.006881
 -2.630326  0.006924
 -2.629126  0.006968
 -2.627926  0.007012
 -2.626725  0.007057
 -2.625525  0.007101
 -2.624325  0.007146
 -2.623125  0.007191
 -2.621924  0.007237
 -2.620724  0.007282
 -2.619524  0.007328
 -2.618324  0.007375
 -2.617123  0.007421
 -2.615923  0.007468
 -2.614723  0.007515
 -2.613523  0.007562
 -2.612322  0.007610
 -2.611122  0.007658
 -2.609922  0.007706
 -2.608722  0.007754
 -2.607522  0.007803
 -2.606321  0.007852
 -2.605121  0.007901
 -2.603921  0.007951
 -2.602721  0.008001
 -2.601520  0.008051
 -2.600320  0.008101
 -2.599120  0.008152
 -2.597920  0.008203
 -2.596719  0.008254
 -2.595519  0.008306
 -2.594319  0.008358
 -2.593119  0.008410
 -2.591918  0.008462
 -2.590718  0.008515
 -2.589518  0.008568
 -2.588318  0.008622
 -2.587117  0.008675
 -2.585917  0.008729
 -2.584717  0.008784
 -2.583517  0.008838
 -2.582316  0.008893
 -2.581116  0.008949
 -2.579916  0.009004
 -2.578716  0.009060
 -2.577516  0.009116
 -2.576315  0.009173
 -2.575115  0.009230
 -2.573915  0.009287
 -2.572715  0.009345
 -2.571514  0.009403
 -2.570314  0.009461
 -2.569114  0.009519
 -2.567914  0.009578
 -2.566713  0.009637
 -2.565513  0.009697
 -2.564313  0.009757
 -2.563113  0.009817
 -2.561912  0.009878
 -2.560712  0.009939
 -2.559512  0.010000
 -2.558312  0.010061
 -2.557111  0.010123
 -2.555911  0.010186
 -2.554711  0.010248
 -2.553511  0.010311
 -2.552310  0.010375
 -2.551110  0.010439
 -2.549910  0.010503
 -2.548710  0.010567
 -2.547510  0.010632
 -2.546309  0.010697
 -2.545109  0.010763
 -2.543909  0.010829
 -2.542709  0.010895
 -2.541508  0.010962
 -2.540308  0.011029
 -2.539108  0.011096
 -2.537908  0.011164
 -2.536707  0.011232
 -2.535507  0.011301
 -2.534307  0.011370
 -2.533107  0.011439
 -2.531906  0.011509
 -2.530706  0.011579
 -2.529506  0.011650
 -2.528306  0.011720
 -2.527105  0.011792
 -2.525905  0.011864
 -2.524705  0.011936
 -2.523505  0.012008
 -2.522304  0.012081
 -2.521104  0.012154
 -2.519904  0.012228
 -2.518704  0.012302
 -2.517504  0.012377
 -2.516303  0.012452
 -2.515103  0.012527
 -2.513903  0.012603
 -2.512703  0.012680
 -2.511502  0.012756
 -2.510302  0.012833
 -2.509102  0.012911
 -2.507902  0.012989
 -2.506701  0.013067
 -2.505501  0.013146
 -2.504301  0.013225
 -2.503101  0.013305
 -2.501900  0.013385
 -2.500700  0.013466
 -2.499500  0.013547
 -2.498300  0.013629
 -2.497099  0.013710
 -2.495899  0.013793
 -2.494699  0.013876
 -2.493499  0.013959
 -2.492298  0.014043
 -2.491098  0.014127
 -2.489898  0.014212
 -2.488698  0.014297
 -2.487497  0.014383
 -2.486297  0.014469
 -2.485097  0.014555
 -2.483897  0.014642
 -2.482697  0.014730
 -2.481496  0.014818
 -2.480296  0.014906
 -2.479096  0.014995
 -2.477896  0.015085
 -2.476695  0.015175
 -2.475495  0.015265
 -2.474295  0.015356
 -2.473095  0.015448
 -2.471894  0.015540
 -2.470694  0.015632
 -2.469494  0.015725
 -2.468294  0.015819
 -2.467093  0.015913
 -2.465893  0.016007
 -2.464693  0.016102
 -2.463493  0.016198
 -2.462292  0.016294
 -2.461092  0.016390
 -2.459892  0.016487
 -2.458692  0.016585
 -2.457491  0.016683
 -2.456291  0.016782
 -2.455091  0.016881
 -2.453891  0.016981
 -2.452691  0.017081
 -2.451490  0.017182
 -2.450290  0.017283
 -2.449090  0.017385
 -2.447890  0.017488
 -2.446689  0.017591
 -2.445489  0.017694
 -2.444289  0.017799
 -2.443089  0.017903
 -2.441888  0.018009
 -2.440688  0.018114
 -2.439488  0.018221
 -2.438288  0.018328
 -2.437087  0.018435
 -2.435887  0.018543
 -2.434687  0.018652
 -2.433487  0.018762
 -2.432286  0.018871
 -2.431086  0.018982
 -2.429886  0.019093
 -2.428686  0.019205
 -2.427485  0.019317
 -2.426285  0.019430
 -2.425085  0.019543
 -2.423885  0.019657
 -2.422685  0.019772
 -2.421484  0.019887
 -2.420284  0.020003
 -2.419084  0.020120
 -2.417884  0.020237
 -2.416683  0.020355
 -2.415483  0.020473
 -2.414283  0.020592
 -2.413083  0.020712
 -2.411882  0.020832
 -2.410682  0.020953
 -2.409482  0.021074
 -2.408282  0.021197
 -2.407081  0.021320
 -2.405881  0.021443
 -2.404681  0.021567
 -2.403481  0.021692
 -2.402280  0.021818
 -2.401080  0.021944
 -2.399880  0.022070
 -2.398680  0.022198
 -2.397479  0.022326
 -2.396279  0.022455
 -2.395079  0.022584
 -2.393879  0.022715
 -2.392679  0.022846
 -2.391478  0.022977
 -2.390278  0.023109
 -2.389078  0.023242
 -2.387878  0.023376
 -2.386677  0.023510
 -2.385477  0.023645
 -2.384277  0.023781
 -2.383077  0.023918
 -2.381876  0.024055
 -2.380676  0.024193
 -2.379476  0.024331
 -2.378276  0.024471
 -2.377075  0.024611
 -2.375875  0.024751
 -2.374675  0.024893
 -2.373475  0.025035
 -2.372274  0.025178
 -2.371074  0.025322
 -2.369874  0.025466
 -2.368674  0.025612
 -2.367473  0.025758
 -2.366273  0.025904
 -2.365073  0.026052
 -2.363873  0.026200
 -2.362673  0.026349
 -2.361472  0.026499
 -2.360272  0.026650
 -2.359072  0.026801
 -2.357872  0.026953
 -2.356671  0.027106
 -2.355471  0.027260
 -2.354271  0.027415
 -2.353071  0.027570
 -2.351870  0.027726
